Token	Class
ὁ	Adjective
,	Punctuation
καί	Conjunction
.	Punctuation
δέ	Conjunction
αὐτός	Pronoun
εἰμί	Verb
·	Punctuation
οὗτος	Pronoun
ἐν	Preposition
μέν	Particle
οὐ	Adverb
ὅς	Pronoun
ἐγώ	Pronoun
γάρ	Conjunction
εἰς	Preposition
τε	Particle
σύ	Pronoun
ἐπί	Preposition
λέγω	Verb
πρός	Preposition
τις	Pronoun
ὡς	Conjunction
πᾶς	Adjective
ἀλλά	Conjunction
πολύς	Adjective
ἐκ	Preposition
κατά	Preposition
γίγνομαι	Verb
μή	Adverb
ἔχω	Verb
ἤ	Conjunction
περί	Preposition
ἄν	Particle
;	Punctuation
ἄλλος	Adjective
διά	Preposition
ὅτι	Conjunction
ποιέω	Verb
εἰ	Conjunction
ἀπό	Preposition
φημί	Verb
ὑπό	Preposition
θεός	Noun-M
οὖν	Conjunction
πόλις	Noun-F
παρά	Preposition
μετά	Preposition
τίς	Pronoun
ἑαυτοῦ	Pronoun
ἐκεῖνος	Pronoun
ἀνήρ	Noun-M
πρῶτος	Adjective
μέγας	Adjective
δή	Particle
λόγος	Noun-M
ὁράω	Verb
οὐδέ	Conjunction
οὐδείς	Pronoun
μάλα	Adverb
οὕτως	Adverb
γε	Particle
κύριος	Noun-M
βασιλεύς	Noun-M
ἄνθρωπος	Noun-M
λαμβάνω	Verb
δίδωμι	Verb
εἷς	Adjective
δοκέω	Verb
οὔτε	Conjunction
νῦν	Adverb
τοιοῦτος	Pronoun
μόνος	Adjective
ὅσος	Adjective
υἱός	Noun-M
ὦ	Interjection
ἔτι	Adverb
ὅδε	Pronoun
γῆ	Noun-F
ἄρα	Particle
ἕτερος	Adjective
καλός	Adjective
δέω	Verb
ἡμέρα	Noun-F
πατήρ	Noun-M
ὥστε	Conjunction
καλέω	Verb
ἅπας	Adjective
οἷος	Adjective
ἔρχομαι	Verb
ἕκαστος	Adjective
ὥσπερ	Adverb
οἶδα	Verb
παῖς	Noun-M
γυνή	Noun-F
ἀκούω	Verb
κακός	Adjective
ὑπέρ	Preposition
ἀρχή	Noun-F
βούλομαι	Verb
ἀγαθός	Adjective
δύναμις	Noun-F
δύναμαι	Verb
τότε	Adverb
χρόνος	Noun-M
μηδείς	Pronoun
φίλος	Adjective
χράω	Verb
ἐπεί	Conjunction
χείρ	Noun-F
ἐάν	Conjunction
ἤδη	Adverb
ἵνα	Conjunction
φέρω	Verb
νόμος	Noun-M
ἔργον	Noun-N
ψυχή	Noun-F
ἐρῶ	Verb
πόλεμος	Noun-M
πράσσω	Verb
ἄγω	Verb
σῶμα	Noun-N
δύο	Adjective
ὄνομα	Noun-N
ἄρχω	Verb
ἔοικα	Verb
πῶς	Adverb
πρᾶγμα	Noun-N
Ἀθηναῖος	Noun-M
δίκαιος	Adjective
πάρειμι	Verb
οἴομαι	Verb
φύσις	Noun-F
ἴσος	Adjective
δεῖ	Verb
ὅλος	Adjective
Ζεύς	Noun-M
ναῦς	Noun-F
ἅμα	Adverb
μέρος	Noun-N
τίθημι	Verb
Ῥωμαῖος	Adjective
τυγχάνω	Verb
χώρα	Noun-F
πάλιν	Adverb
μηδέ	Conjunction
φαίνω	Verb
σφεῖς	Pronoun
πείθω	Verb
ἐθέλω	Verb
ὅμοιος	Adjective
γιγνώσκω	Verb
πλῆθος	Noun-N
ἀεί	Adverb
ἀλλήλων	Pronoun
τοσοῦτος	Pronoun
πολέμιος	Adjective
ὅταν	Conjunction
μήτε	Conjunction
τρόπος	Noun-M
μέλλω	Verb
κελεύω	Verb
γράφω	Verb
ἀδελφός	Noun-M
θάλασσα	Noun-F
μήν	Particle
εὑρίσκω	Verb
μέσος	Adjective
τόπος	Noun-M
νομίζω	Verb
ὀλίγος	Adjective
σύν	Preposition
ὅπως	Conjunction
Ἕλλην	Noun-M
ποτέ	Adverb
μικρός	Adjective
ἴδιος	Adjective
συμβαίνω	Verb
κοινός	Adjective
ὑπάρχω	Verb
οἶκος	Noun-M
παρέχω	Verb
πάσχω	Verb
ἵστημι	Verb
ἔτος	Noun-N
ἡγέομαι	Verb
ὅστις	Pronoun
ἐμός	Adjective
ζάω	Verb
ἐναντίος	Adjective
βίος	Noun-M
γένος	Noun-N
ὅτε	Conjunction
χρῆμα	Noun-N
καιρός	Noun-M
αἱρέω	Verb
πέμπω	Verb
ἀρετή	Noun-F
φεύγω	Verb
δῆμος	Noun-M
ὕδωρ	Noun-N
εὐθύς	Adverb
καθίστημι	Verb
λαός	Noun-M
ἀληθής	Adjective
χρή	Verb
τρεῖς	Adjective
ποταμός	Noun-M
λοιπός	Adjective
ἔθνος	Noun-N
πρό	Preposition
ἕως	Conjunction
ἵππος	Noun-M
ὁδός	Adjective
δόξα	Noun-F
ἀξιόω	Verb
Ἰσραήλ	Noun-M
ἥκω	Verb
δεινός	Adjective
ἄξιος	Adjective
μέχρι	Preposition
ἔπειτα	Adverb
εἶτα	Adverb
ἀποθνήσκω	Verb
μάχη	Noun-F
μήτηρ	Noun-F
εὖ	Adverb
ἀπόλλυμι	Verb
χάρις	Noun-F
ὅσπερ	Pronoun
ὕστερος	Adjective
μέντοι	Particle
ἀνάγκη	Noun-F
Λακεδαιμόνιος	Noun-M
πῦρ	Noun-N
τοίνυν	Particle
ἀμφότερος	Adjective
στρατηγός	Noun-M
δίκη	Noun-F
κρατέω	Verb
ταχύς	Adjective
ἐπειδή	Conjunction
θάνατος	Noun-M
νέος	Adjective
νύξ	Noun-F
ἀφικνέομαι	Verb
τέλος	Noun-N
ἀντί	Preposition
τεῖχος	Noun-N
ὄρος	Noun-N
αἰτία	Noun-F
καθά	Adverb
φυλάσσω	Verb
μένω	Verb
σώζω	Verb
ἕνεκα	Preposition
ὀρθός	Adverb
θυγάτηρ	Noun-F
οὐρανός	Noun-M
οἰκεῖος	Adjective
ἐνταῦθα	Adverb
ἐλαχύς	Adjective
δεύτερος	Adjective
πορεύω	Verb
